Local,Visitante,Año,GolesLocal,GolesVisita,GolesTotales
Uruguay,Rusia,2018,3,0,3
Arabia Saudita,Egipto,2018,2,1,3
Marruecos,Irán,2018,0,1,1
Portugal,España,2018,3,3,6
Portugal,Marruecos,2018,1,0,1
Irán,España,2018,0,1,1
Irán,Portugal,2018,1,1,2
España,Marruecos,2018,2,2,4
Francia,Australia,2018,2,1,3
Perú,Dinamarca,2018,0,1,1
Dinamarca,Australia,2018,1,1,2
Francia,Perú,2018,1,0,1
Dinamarca,Francia,2018,0,0,0
Australia,Perú,2018,0,2,2
Argentina,Islandia,2018,1,1,2
Croacia,Nigeria,2018,2,0,2
Argentina,Croacia,2018,0,3,3
Nigeria,Islandia,2018,2,0,2
Nigeria,Argentina,2018,1,2,3
Islandia,Croacia,2018,1,2,3
Costa Rica,Serbia,2018,0,1,1
Brasil,Suiza,2018,1,1,2
Brasil,Costa Rica,2018,2,0,2
Serbia,Suiza,2018,1,2,3
Serbia,Brasil,2018,0,2,2
Suiza,Costa Rica,2018,2,2,4
Alemania,México,2018,0,1,1
Suecia,Corea del Sur,2018,1,0,1
Corea del Sur,México,2018,1,2,3
Alemania,Suecia,2018,2,1,3
Corea del Sur,Alemania,2018,2,0,2
México,Suecia,2018,0,3,3
Bélgica,Panamá,2018,3,0,3
Túnez,Inglaterra,2018,1,2,3
Bélgica,Túnez,2018,5,2,7
Inglaterra,Panamá,2018,6,1,7
Inglaterra,Bélgica,2018,0,1,1
Panamá,Túnez,2018,1,2,3
Colombia,Japón,2018,1,2,3
Polonia,Senegal,2018,1,2,3
Japón,Senegal,2018,2,2,4
Polonia,Colombia,2018,0,3,3
Japón,Polonia,2018,0,1,1
Senegal,Colombia,2018,0,1,1
Francia,Argentina,2018,4,3,7
Uruguay,Portugal,2018,2,1,3
España,Rusia,2018,1,1,2
Croacia,Dinamarca,2018,1,1,2
Brasil,México,2018,2,0,2
Bélgica,Japón,2018,3,2,5
Suecia,Suiza,2018,1,0,1
Colombia,Inglaterra,2018,1,1,2
Uruguay,Francia,2018,0,2,2
Brasil,Bélgica,2018,1,2,3
Suecia,Inglaterra,2018,0,2,2
Rusia,Croacia,2018,2,2,4
Francia,Bélgica,2018,1,0,1
Croacia,Inglaterra,2018,2,1,3
Bélgica,Inglaterra,2018,2,0,2
Francia,Croacia,2018,4,2,6
